Entité;Catégorie;Entité_FR
texture mask;DIGITAL_TECH;masque de texture
thesaurus;DIGITAL_TECH;thésaurus
thesaurus structuring;DIGITAL_TECH;structuration du thésaurus
thesauruses;DIGITAL_TECH;thésaurus
thesauruses indexing;DIGITAL_TECH;indexation de thésaurus
three-dimensional archive;DIGITAL_TECH;archive tridimensionnelle
three-dimensional model;DIGITAL_TECH;modèle 3D
three-dimensional model creation;DIGITAL_TECH;création de modèle 3D
three-dimensional restitution;DIGITAL_TECH;restitution 3D
Total-IBA;DIGITAL_TECH;Total-IBA
TUCT v2.0f;DIGITAL_TECH;TUCT v2.0f
ultrasonic waves;DIGITAL_TECH;ondes ultrasonores
unification of point clouds;DIGITAL_TECH;unification des nuages de points
uniform rectilinear grid;DIGITAL_TECH;grille rectilinéaire uniforme
user-friendly format;DIGITAL_TECH;format convivial
videos;DIGITAL_TECH;vidéos
virtual camera;DIGITAL_TECH;caméra virtuelle
Virtual events;DIGITAL_TECH;événements virtuels
virtual reconstruction;DIGITAL_TECH;reconstruction virtuelle
virtual restitution ahistorical CGI;DIGITAL_TECH;restauration virtuelle anhistorique par CGI
visual enhancement;DIGITAL_TECH;amélioration visuelle
visual information acquisition;DIGITAL_TECH;acquisition d'informations visuelles
visual information corpus pieces;DIGITAL_TECH;pièces de corpus d'informations visuelles
Visual Media Service;DIGITAL_TECH;service de médias visuels
visualisation web application;DIGITAL_TECH;application web de visualisation
visualization;DIGITAL_TECH;visualisation
visualization tool;DIGITAL_TECH;outil de visualisation
vocabulary definition;DIGITAL_TECH;définition du vocabulaire
vocabulary management system;DIGITAL_TECH;système de gestion du vocabulaire
volumetric data;DIGITAL_TECH;données volumiques
webbings;DIGITAL_TECH;renforts
Wikidata;DIGITAL_TECH;Wikidata
X-ray;DIGITAL_TECH;rayon X
20ms to 100ms after the direct sound;DURATION;20 ms à 100 ms après le son direct
40 to 140 years old;DURATION;âgé de 40 à 140 ans
50 – 100 years old;DURATION;âgé de 50 à 100 ans
8 May 2019;DURATION;08-mai-19
800 years;DURATION;800 ans
90s;DURATION;années 1990
April 2018;DURATION;avr-18
April 2019;DURATION;avr-19
April 2021;DURATION;avr-21
autumn/winter;DURATION;automne/hiver
before and after the fire;DURATION;avant et après l'incendie
beginning of May;DURATION;début mai
between 1163 and 1182;DURATION;entre 1163 et 1182
between 2010 and 2020;DURATION;entre 2010 et 2020
Building period;DURATION;période de construction
campaigns;DURATION;campagnes
Cathedral building period;DURATION;période de construction de la cathédrale
chronological data;DURATION;données chronologiques
chronological framework;DURATION;cadre chronologique
chronological sequences of roofing works;DURATION;séquences chronologiques des travaux de couverture
chronologies;DURATION;chronologies
chronology;DURATION;chronologie
chronology of iron use;DURATION;chronologie de l'utilisation du fer
chronology of the cathedral;DURATION;chronologie de la cathédrale
circa 1215;DURATION;vers 1215
circa 1220;DURATION;vers 1220
cosmic events chronologies;DURATION;chronologies des événements cosmiques
daily monitoring;DURATION;suivi quotidien
dating of construction;DURATION;datation de la construction
dendrochronological dating;DURATION;datation dendrochronologique
detailed chronology of the building;DURATION;chronologie détaillée du bâtiment
drying period;DURATION;période de séchage
duration;DURATION;durée
duration of the building site;DURATION;durée du chantier
duration of the construction of Notre-Dame;DURATION;durée de la construction de Notre-Dame
during the work;DURATION;pendant les travaux
early 2010s;DURATION;début des années 2010
end of 2022;DURATION;fin 2022
end of the wooden pieces inventory;DURATION;fin de l'inventaire des pièces en bois
end of this first phase;DURATION;fin de cette première phase
Evolution over time;DURATION;évolution dans le temps
February 2020;DURATION;févr-20
felling-phases;DURATION;phases d'abattage
fifteen years;DURATION;quinze ans
first half of 2022;DURATION;première moitié de 2022
five years later;DURATION;cinq ans plus tard
fourth and last campaign;DURATION;quatrième et dernière campagne
from 1170 to 1182;DURATION;de 1170 à 1182
from August 2020 to January 2021;DURATION;d'août 2020 à janvier 2021
From September 2019 to January 2020;DURATION;de septembre 2019 à janvier 2020
future;DURATION;futur
Harvest age;DURATION;âge de récolte
history of lead roof in Notre-Dame de Paris;DURATION;histoire du toit en plomb de Notre-Dame de Paris
July 2019;DURATION;juil-19
July 2020;DURATION;juil-20
June 2019;DURATION;juin-19
June 21, 2016;DURATION;le 21 juin 2016
June 21, 2017;DURATION;le 21 juin 2017
june 29 1859;DURATION;le 29 juin 1859
lead uses over time;DURATION;utilisations du plomb au fil du temps
March 2021;DURATION;mars-21
May 1996;DURATION;mai-96
May 2019;DURATION;mai-19
Nearly fifty years;DURATION;près de cinquante ans
over the centuries;DURATION;au fil des siècles
past;DURATION;passé
period of production;DURATION;période de production
periods;DURATION;périodes
phasing;DURATION;phases
post-quem dating;DURATION;datation post quem
present;DURATION;présent
producing 14C records;DURATION;production de données 14C
radiocarbon dating;DURATION;datation au radiocarbone
recent;DURATION;récents
September 2018;DURATION;sept-18
spring 2020;DURATION;printemps 2020
spring and summer of 2021;DURATION;printemps et été 2021
temporal distribution;DURATION;distribution temporelle
temporal studies;DURATION;études temporelles
temporalities;DURATION;temporalités
timber constructions 14C dating;DURATION;datation 14C des constructions en bois
time;DURATION;temps
time frame;DURATION;cadre temporel
today;DURATION;aujourd'hui
twelfth and thirteenth centuries construction phases;DURATION;phases de construction des XIIe et XIIIe siècles
two years;DURATION;deux ans
two-hundred-year-old;DURATION;centenaire
unknown consolidations phases;DURATION;phases de consolidation inconnues
wood felled around 1214;DURATION;bois abattu vers 1214
Work phase;DURATION;phase de travail
Years following cathedral building;DURATION;années suivant la construction de la cathédrale
A. Stulcova;EXPERT;A. Stulcova
A. Tallon;EXPERT;A. Tallon
acoustics specialists;EXPERT;spécialistes de l'acoustique
actors;EXPERT;acteurs
Adolphe Napoléon Didron;EXPERT;Adolphe Napoléon Didron
agents;EXPERT;agents
Alain Erlande-Brandenburg;EXPERT;Alain Erlande-Brandenburg
Alfred Gérente;EXPERT;Alfred Gérente
Alix Bancarel;EXPERT;Alix Bancarel
Andrew Tallon;EXPERT;Andrew Tallon
anthropologist;EXPERT;anthropologue
Antoine Lusson;EXPERT;Antoine Lusson
archaeodendrometry specialist;EXPERT;spécialiste d'archéodendrométrie
archaeologist;EXPERT;archéologue
archaeologist from Inrap;EXPERT;archéologue de l'Inrap
archaeologists;EXPERT;archéologues
Architect;EXPERT;Architecte
architects;EXPERT;architectes
Arnaud Ybert;EXPERT;Arnaud Ybert
art historians;EXPERT;historiens de l'art
Artisans;EXPERT;artisans
artists;EXPERT;artistes
Astrid Tazzioli;EXPERT;Astrid Tazzioli
Auguste Steinheil;EXPERT;Auguste Steinheil
Baptiste Petit-Gérard;EXPERT;Baptiste Petit-Gérard
Barrel makers;EXPERT;tonneliers
Baudouin Janninck;EXPERT;Baudouin Janninck
blacksmiths;EXPERT;forgerons
Boffrand;EXPERT;Boffrand
Briard;EXPERT;Briard
Briard et al.;EXPERT;Briard et al.
Builders;EXPERT;constructeurs
building designers;EXPERT;concepteurs de bâtiments
C. Lavier;EXPERT;C. Lavier
C. Trentesaux;EXPERT;C. Trentesaux
Caroline Bruzelius;EXPERT;Caroline Bruzelius
Caroline M.;EXPERT;Caroline M.
carpenters;EXPERT;charpentiers
cathedral conservators;EXPERT;conservateurs de cathédrales
Cécile Doustaly;EXPERT;Cécile Doustaly
Cédric Trentesaux;EXPERT;Cédric Trentesaux
Chief architects;EXPERT;architectes en chef
chief architects for historic monuments;EXPERT;architectes en chef des monuments historiques
choirmasters;EXPERT;maîtres de chœur
choral conductors;EXPERT;chefs de chœur
civil engineers;EXPERT;ingénieurs civils
Claudie Voisenat;EXPERT;Claudie Voisenat
Colbert;EXPERT;Colbert
composers;EXPERT;compositeurs
conservation scientists;EXPERT;chercheurs en conservation
conservators;EXPERT;conservateurs
Constance Aumonnier;EXPERT;Constance Aumonnier
craftsmen;EXPERT;artisans
curators;EXPERT;conservateurs de musée
D. du Boisgueheneuc;EXPERT;D. du Boisgueheneuc
D’Altri;EXPERT;D’Altri
Daussy;EXPERT;Daussy
Daux et al.;EXPERT;Daux et al.
David Le Breton;EXPERT;David Le Breton
Détain;EXPERT;Détain
Didier Groux;EXPERT;Didier Groux
directors;EXPERT;directeurs
disciplinary knowledge;EXPERT;connaissances disciplinaires
documentary filmmakers;EXPERT;réalisateurs de documentaires
E. Maurin;EXPERT;E. Maurin
Édouard Amédée Didron;EXPERT;Édouard Amédée Didron
Elisabeth Pillet;EXPERT;Elisabeth Pillet
Ernest Herpe;EXPERT;Ernest Herpe
Eugène;EXPERT;Eugène
Eugène Emmanuel;EXPERT;Eugène Emmanuel
Eugène Oudinot;EXPERT;Eugène Oudinot
Eugène Rattier;EXPERT;Eugène Rattier
Europe scientists;EXPERT;scientifiques européens
Experts;EXPERT;experts
F. Épaud;EXPERT;F. Épaud
firemen;EXPERT;pompiers
foley artist;EXPERT;artiste foley
Fonquernie;EXPERT;Fonquernie
Frédéric Douin;EXPERT;Frédéric Douin
Frédéric Epaud;EXPERT;Frédéric Epaud
French architects;EXPERT;architectes français
French craftsman;EXPERT;artisan français
G.N. Lambert;EXPERT;G.N. Lambert
Gediminas Lankauskas;EXPERT;Gediminas Lankauskas
Gérente;EXPERT;Gérante
Germain Boffrand;EXPERT;Germain Boffrand
German Luftwaffe;EXPERT;Luftwaffe allemande
Graham Sutherland;EXPERT;Graham Sutherland
Gratuze;EXPERT;Gratuze
H. Deneux;EXPERT;H. Deneux
Henri C.;EXPERT;Henri C.
Henri C. (director of La Maîtrise and choir director);EXPERT;Henri C. (directeur de La Maîtrise et chef de chœur)
Henri Deneux;EXPERT;Henri Deneux
Heritage carpenter’s know-how;EXPERT;Heritage carpenter’s know-how
heritage-related academic;EXPERT;chercheur en patrimoine
historians;EXPERT;historiens
historians of architecture;EXPERT;historiens de l'architecture
investigators;EXPERT;enquêteurs
J.-M. Pérouse de Montclos;EXPERT;J.-M. Pérouse de Montclos
Jacques Le Chevallier;EXPERT;Jacques Le Chevallier
Jean de Chelles;EXPERT;Jean de Chelles
Jean Lafond;EXPERT;Jean Lafond
Jean Le Vieil;EXPERT;Jean Le Vieil
Jean-Baptiste Lassus;EXPERT;Jean-Baptiste Lassus
Jean-Charles G.;EXPERT;Jean-Charles G.
Jean-François Luneau;EXPERT;Jean-François Luneau
Jean-Jacques Annaud;EXPERT;Jean-Jacques Annaud
Jean-Louis Taupin;EXPERT;Jean-Louis Taupin
Jean-Loup B.;EXPERT;Jean-Loup B.
Jean-Michel Jarre;EXPERT;Jean-Michel Jarre
journalists;EXPERT;journalistes
journeymen;EXPERT;compagnons
Julie Monique;EXPERT;Julie Monique
Karine Boulanger;EXPERT;Karine Boulanger
L’Héritier et al;EXPERT;L’Héritier et al.
laboratories;EXPERT;laboratoires
Laurent P.;EXPERT;Laurent P.
lead architects;EXPERT;architectes en chef
leaders;EXPERT;dirigeants
Manfred Shuller;EXPERT;Manfred Schuller
Marc Férauge;EXPERT;Marc Férauge
Marcel Aubert;EXPERT;Marcel Aubert
Marie Godet;EXPERT;Marie Godet
Marie-Antoinette;EXPERT;Marie-Antoinette
Marshal of Metz;EXPERT;Maréchal de Metz
masons;EXPERT;maçons
Matthieu Stefanelli;EXPERT;Matthieu Stefanelli
Matthieu W.;EXPERT;Matthieu W.
Maurice de Sully;EXPERT;Maurice de Sully
Michel Hérold;EXPERT;Michel Hérold
Middle Ages carpenters;EXPERT;charpentiers du Moyen Âge
monument custodians;EXPERT;gardiens de monument
monument directors;EXPERT;directeurs de monument
Nathalie Heinich;EXPERT;Nathalie Heinich
NDP architects;EXPERT;architectes NDP
Nicolas Coffetier;EXPERT;Nicolas Coffetier
Olivier Girardclos;EXPERT;Olivier Girardclos
organ builders;EXPERT;constructeurs d'orgues
organists;EXPERT;organistes
ornithologists;EXPERT;ornithologues
P. Hoffsummer;EXPERT;P. Hoffsummer
painters;EXPERT;peintres
Paris Zig-Zag guides;EXPERT;guides Paris Zig-Zag
Patrick Zachmann;EXPERT;Patrick Zachmann
Paul Benoit;EXPERT;Paul Benoit
Penagos et al.;EXPERT;Penagos et al.
photographer;EXPERT;photographe
photographers;EXPERT;photographes
Pierre de Montreuil;EXPERT;Pierre de Montreuil
Pierre Le Vieil;EXPERT;Pierre Le Vieil
Pierre Mignerey;EXPERT;Pierre Mignerey
Plumbers’ practices;EXPERT;pratiques des plombiers
professional photographers;EXPERT;photographes professionnels
qualified decision-makers;EXPERT;décideurs qualifiés
R. Fromont;EXPERT;R. Fromont
Rémi Fromont;EXPERT;Rémi Fromont
research engineer;EXPERT;ingénieur de recherche
research stakeholders;EXPERT;parties prenantes de la recherche
researchers;EXPERT;chercheurs
researchers professionals;EXPERT;chercheurs professionnels
restoration craftsmen;EXPERT;artisans de restauration
restorers;EXPERT;restaurateurs
rope technicians;EXPERT;techniciens de cordage
scientists;EXPERT;scientifiques
Sebastian Ené;EXPERT;Sébastien Ené
sound designer;EXPERT;concepteur sonore
stained glass experts;EXPERT;experts en vitraux
stakeholders;EXPERT;parties prenantes
Steinheil;EXPERT;Steinheil
Stéphane Compoint;EXPERT;Stéphane Compoint
stone workers;EXPERT;travailleurs de la pierre
stonecutter;EXPERT;tailleur de pierre
stonecutters;EXPERT;tailleurs de pierre
stonedresser;EXPERT;dresseur de pierre
stonedressers;EXPERT;dresseurs de pierre
stonemason;EXPERT;maçon de pierre
Sylvain D.;EXPERT;Sylvain D.
Sylvain D. (choirmaster);EXPERT;Sylvain D. (chef de chœur)
Syvilay et al.;EXPERT;Syvilay et al.
technicians;EXPERT;techniciens
Thaïs R.W.;EXPERT;Thaïs R.W.
tourism professionals;EXPERT;professionnels du tourisme
V. Bernard;EXPERT;V. Bernard
V. Chevrier;EXPERT;V. Chevrier
Véronique Vergès-Belmin;EXPERT;Véronique Vergès-Belmin
Villard de Honnecourt;EXPERT;Villard de Honnecourt
Vincent P.;EXPERT;Vincent P.
Viollet-le-Duc;EXPERT;Viollet-le-Duc
Viollet-le-Duc.;EXPERT;Viollet-le-Duc
workers;EXPERT;travailleurs
writers;EXPERT;écrivains
25-26 April 2019;FIRE_EVENT;25-26 avril 2019
25th April to the 3rd May 2019;FIRE_EVENT;du 25 avril au 3 mai 2019
April 15, 2019;FIRE_EVENT;15-avr-19
April 15th 2019;FIRE_EVENT;15-avr-19
ashes;FIRE_EVENT;cendres
blaze;FIRE_EVENT;flambée
burnt;FIRE_EVENT;flambé
cataclysm;FIRE_EVENT;cataclysme
catastrophes;FIRE_EVENT;catastrophes
chemical degradation;FIRE_EVENT;dégradation chimique
combustion;FIRE_EVENT;combustion
combustion degradation;FIRE_EVENT;dégradation par combustion
conflagration fire;FIRE_EVENT;incendie de grande ampleur
de-etherization;FIRE_EVENT;déméthanisation
delamination;FIRE_EVENT;décollement
development of a fire;FIRE_EVENT;développement d'un incendie
development of credible fire scenarios;FIRE_EVENT;élaboration de scénarios d'incendie crédibles
disaster response;FIRE_EVENT;réponse aux catastrophes
effects of fire on stone structures;FIRE_EVENT;effets du feu sur les structures en pierre
emergency and risk management measures;FIRE_EVENT;mesures de gestion des urgences et des risques
emergency situation;FIRE_EVENT;situation d'urgence
environmental lead contamination;FIRE_EVENT;contamination environnementale par le plomb
experience of disaster;FIRE_EVENT;expérience de catastrophe
fire;FIRE_EVENT;incendie
fire damage;FIRE_EVENT;dégâts causés par un incendie
fire influence;FIRE_EVENT;influence du feu
fire-stricken heritage;FIRE_EVENT;patrimoine incendié
flame effect;FIRE_EVENT;effet de flamme
flame temperature;FIRE_EVENT;température de flamme
flame vulnerability;FIRE_EVENT;vulnérabilité à la flamme
flammable material;FIRE_EVENT;matériau combustible
heat;FIRE_EVENT;chaleur
heat emission;FIRE_EVENT;émission de chaleur
heating up;FIRE_EVENT;réchauffement
heritage catastrophes;FIRE_EVENT;catastrophes patrimoniales
heritage disaster;FIRE_EVENT;catastrophe patrimoniale
heritage loss;FIRE_EVENT;perte patrimoniale
ignitor prescription;FIRE_EVENT;prescription de l'élément d'allumage
impact of fire;FIRE_EVENT;impact du feu
impact of fire and lead pollution on research;FIRE_EVENT;impact du feu et de la pollution au plomb sur la recherche
impact of fire on cultural production and publishing industry;FIRE_EVENT;impact de l'incendie sur la production culturelle et l'industrie de l'édition
impact of fire on elements and structures;FIRE_EVENT;impact de l'incendie sur les éléments et les structures
impact of the fire on the vault;FIRE_EVENT;impact de l'incendie sur la voûte
impacts;FIRE_EVENT;impacts
indirect heat;FIRE_EVENT;chaleur indirecte
intense heat;FIRE_EVENT;chaleur intense
lead contamination;FIRE_EVENT;contamination au plomb
lead pollution;FIRE_EVENT;pollution au plomb
material damage;FIRE_EVENT;dégâts au matériel
mechanical impact of fire;FIRE_EVENT;impact mécanique de l'incendie
oxidation;FIRE_EVENT;oxydation
partial combustion;FIRE_EVENT;combustion partielle
partial pyrolysis;FIRE_EVENT;pyrolyse partielle
past fires;FIRE_EVENT;incendies passés
post-catastrophe debates;FIRE_EVENT;débats post-catastrophe
post-fire dust deposit;FIRE_EVENT;dépôt de poussière après l'incendie
post-fire heating;FIRE_EVENT;réchauffement post-incendie
post-fire point cloud;FIRE_EVENT;nuage de points post-incendie
pyrolysis;FIRE_EVENT;pyrolyse
residual heat;FIRE_EVENT;chaleur résiduelle
smoke;FIRE_EVENT;fumée
soot;FIRE_EVENT;suie
sources of environmental pollution;FIRE_EVENT;sources de pollution environnementale
sulfation;FIRE_EVENT;sulfation
temperature field;FIRE_EVENT;champ thermique
thermal cracking;FIRE_EVENT;fissuration thermique
thermal damage;FIRE_EVENT;dégâts thermiques
thermal decomposition;FIRE_EVENT;décomposition thermique
thermal deformation;FIRE_EVENT;déformation thermique
thermal pollution;FIRE_EVENT;pollution thermique
triggering;FIRE_EVENT;déclenchement
3 teams;GROUPE_TRAVAIL;3 équipes
Acoustics Working Group;GROUPE_TRAVAIL;Groupe de travail Acoustique
Chrono-environment laboratory;GROUPE_TRAVAIL;laboratoire chrono-environnement
collaboration;GROUPE_TRAVAIL;collaboration
Digital Data WG;GROUPE_TRAVAIL;groupe de travail sur les données numériques
Digital data WK;GROUPE_TRAVAIL;atelier sur les données numériques
Digital Data Working Group;GROUPE_TRAVAIL;groupe de travail sur les données numériques
Digital WG;GROUPE_TRAVAIL;groupe de travail numérique
Ecole du Louvre students;GROUPE_TRAVAIL;étudiants de l'École du Louvre
EMOBI working group;GROUPE_TRAVAIL;groupe de travail EMOBI
Emobi’s workshop students;GROUPE_TRAVAIL;étudiants des ateliers EMOBI
ensemble musicians;GROUPE_TRAVAIL;musiciens d'ensemble
fire brigade;GROUPE_TRAVAIL;pompiers
fire engineers;GROUPE_TRAVAIL;ingénieurs incendie
firefighters;GROUPE_TRAVAIL;pompiers
French Corpus Committee;GROUPE_TRAVAIL;comité du corpus français
interdisciplinarity;GROUPE_TRAVAIL;interdisciplinarité
interdisciplinary collaboration;GROUPE_TRAVAIL;collaboration interdisciplinaire
interdisciplinary discussions;GROUPE_TRAVAIL;discussions interdisciplinaires
LRMH team;GROUPE_TRAVAIL;équipe LRMH
members from the French Historic Monuments research unit;GROUPE_TRAVAIL;membres de l'unité de recherche des Monuments Historiques français
members of “digital ecosystem” working group;GROUPE_TRAVAIL;membres du groupe de travail « écosystème numérique »
members of the Museum community;GROUPE_TRAVAIL;membres de la communauté muséale
members of the working group;GROUPE_TRAVAIL;membres du groupe de travail
Metal Department;GROUPE_TRAVAIL;Département des Métaux
Metal Working Group;GROUPE_TRAVAIL;Groupe de Travail sur les Métaux
online workshops;GROUPE_TRAVAIL;ateliers en ligne
project management team;GROUPE_TRAVAIL;équipe de gestion du projet
project members;GROUPE_TRAVAIL;membres du projet
reconstruction team;GROUPE_TRAVAIL;équipe de reconstruction
research laboratories;GROUPE_TRAVAIL;laboratoires de recherche
research units;GROUPE_TRAVAIL;unités de recherche
Restaurons Notre-Dame;GROUPE_TRAVAIL;Restaurons Notre-Dame
Rocamat company working group;GROUPE_TRAVAIL;groupe de travail de l'entreprise Rocamat
sample preparation laboratories;GROUPE_TRAVAIL;laboratoires de préparation d'échantillons
scientific project community;GROUPE_TRAVAIL;communauté du projet scientifique
scientists from the LRMH;GROUPE_TRAVAIL;chercheurs du LRMH
stained glass workshop teams;GROUPE_TRAVAIL;équipes des ateliers de vitraux
stakeholder groups;GROUPE_TRAVAIL;groupes d'intervenants
Stone WG;GROUPE_TRAVAIL;groupe de travail Pierre
teams from the companies Pierrenoël and ADNE;GROUPE_TRAVAIL;équipes des entreprises Pierrenoël et ADNE
teams of glass painters;GROUPE_TRAVAIL;équipes de peintres sur verre
thematic working groups;GROUPE_TRAVAIL;groupes de travail thématiques
university researchers;GROUPE_TRAVAIL;chercheurs universitaires
volunteer team;GROUPE_TRAVAIL;équipe de bénévoles
WG (Stone, Metal);GROUPE_TRAVAIL;groupe de travail (Pierre, Métal)
Wood & Carpentry working group;GROUPE_TRAVAIL;groupe de travail Bois et Charpente
Wood and Carpentry working group;GROUPE_TRAVAIL;groupe de travail Bois et Charpente
Wood and framing Working Group;GROUPE_TRAVAIL;groupe de travail Bois et Échafaudages
Wood Department;GROUPE_TRAVAIL;Département du Bois
Wood working group;GROUPE_TRAVAIL;groupe de travail Bois
working group Émotions/Mobilisations;GROUPE_TRAVAIL;groupe de travail Émotions/Mobilisations
workshop teams;GROUPE_TRAVAIL;équipes d'atelier
Académie de Paris;HERITAGE_INST;Académie de Paris
ACMH;HERITAGE_INST;Architecte en Chef des Monuments Historiques (ACMH)
Andrew Tallon;HERITAGE_INST;Andrew Tallon
ANR;HERITAGE_INST;Agence Nationale de la Recherche (ANR)
Archeovision;HERITAGE_INST;Archeovision
Architecte en Chef des Monuments Historiques (ACMH);HERITAGE_INST;Architecte en Chef des Monuments Historiques (ACMH)
Archives nationales;HERITAGE_INST;Archives nationales
Ariana museum;HERITAGE_INST;musée Ariana
banks of the Seine cultural sites;HERITAGE_INST;sites culturels des rives de la Seine
BESTREMA;HERITAGE_INST;Bureau d'Études Scientifiques et Techniques pour la Restauration et la Mise en Valeur des Monuments Anciens (BESTREMA)
Bibracte-Glux en Glenne European Archaeological Center;HERITAGE_INST;Centre européen d'archéologie de Bibracte-Glux-en-Glenne
C2RMF;HERITAGE_INST;Centre de recherche et de restauration des musées de France
C2RMF’s archaeodendrometry;HERITAGE_INST;archéodendrométrie du C2RMF
CASA guides;HERITAGE_INST;guides CASA
CASA Notre-Dame guides;HERITAGE_INST;guides CASA Notre-Dame
CAUE de Paris;HERITAGE_INST;CAUE de Paris
CEA;HERITAGE_INST;Commissariat à l'énergie atomique et aux énergies alternatives
Centre André Chastel;HERITAGE_INST;Centre André Chastel
Centre André Chastel (CNRS, Sorbonne Université, MC);HERITAGE_INST;Centre André Chastel (CNRS, Sorbonne Université, MC)
Centre Chastel;HERITAGE_INST;Centre Chastel
Centre de recherche et de restauration des musées de France;HERITAGE_INST;Centre de recherche et de restauration des musées de France
Centre de recherche et de restauration des musées de France (C2RMF);HERITAGE_INST;Centre de recherche et de restauration des musées de France (C2RMF)
Centre de Recherche sur la Conservation;HERITAGE_INST;Centre de recherche sur la conservation
Centre des Hautes Études de Chaillot, France;HERITAGE_INST;Centre des Hautes Études de Chaillot, France
Centre des Monuments nationaux;HERITAGE_INST;Centre des monuments nationaux
Cergy Paris University;HERITAGE_INST;Université de Cergy Paris
Chantier scientifique CNRS/Ministère de la Culture/Notre-Dame;HERITAGE_INST;chantier scientifique CNRS/Ministère de la Culture/Notre-Dame
Chantier Scientifique Notre-Dame;HERITAGE_INST;chantier scientifique Notre-Dame
chapter of Notre-Dame;HERITAGE_INST;chapitre de Notre-Dame
choir school;HERITAGE_INST;école du chœur
church of Saint-Roch;HERITAGE_INST;église Saint-Roch
church of the Madeleine;HERITAGE_INST;église de la Madeleine
Cité de l'Architecture et du Patrimoine;HERITAGE_INST;Cité de l'Architecture et du Patrimoine
City of Paris;HERITAGE_INST;Ville de Paris
CNRS;HERITAGE_INST;CNRS
CNRS (French National Center for Scientific Research);HERITAGE_INST;CNRS (Centre National de la Recherche Scientifique)
CNRS / MC;HERITAGE_INST;CNRS / MC
CNRS task force;HERITAGE_INST;équipe d'intervention du CNRS
CNRS/MC;HERITAGE_INST;CNRS/Ministère de la Culture
CNRS/MC Notre-Dame scientific project;HERITAGE_INST;projet scientifique CNRS/Ministère de la Culture Notre-Dame
CNRS/MC scientific project;HERITAGE_INST;projet scientifique CNRS/Ministère de la Culture
CNRS/MCC scientific project;HERITAGE_INST;projet scientifique CNRS/Maison de la Chimie
CNRS/Ministry of Culture Chantier Scientifique Notre Dame de Paris;HERITAGE_INST;chantier scientifique Notre-Dame de Paris du CNRS/Ministère de la Culture
CNRS’s building archaeologists;HERITAGE_INST;archéologues du bâti du CNRS
CNRS-MAP;HERITAGE_INST;CNRS-MAP
consortium of research teams;HERITAGE_INST;consortium d'équipes de recherche
Contracting authority (EPND);HERITAGE_INST;maître d'ouvrage (EPND)
contributing institution;HERITAGE_INST;institution contributrice
Corpus Vitrearum;HERITAGE_INST;Corpus Vitrearum
CRC;HERITAGE_INST;CRC
CRC-team;HERITAGE_INST;équipe CRC
cultural institutions;HERITAGE_INST;institutions culturelles
Department of Architecture;HERITAGE_INST;Département d'Architecture
diocesan associations;HERITAGE_INST;associations diocésaines
Diocese of Paris;HERITAGE_INST;Diocèse de Paris
Direction générale des Patrimoines;HERITAGE_INST;Direction générale des Patrimoines
Direction régionale des affaires culturelles (DRAC) Île-de-France;HERITAGE_INST;Direction régionale des affaires culturelles (DRAC) Île-de-France
DRAC Ile-de-France;HERITAGE_INST;DRAC Île-de-France
Dubai World Expo;HERITAGE_INST;Exposition universelle de Dubaï
Ecole Militaire;HERITAGE_INST;École militaire
EDF;HERITAGE_INST;EDF
Eiffel Tower;HERITAGE_INST;Tour Eiffel
EMOBI;HERITAGE_INST;EMOBI
Emobi’s workshop;HERITAGE_INST;atelier d'EMOBI
engineering office;HERITAGE_INST;bureau d'études
EPND project management;HERITAGE_INST;gestion du projet EPND
EPRNDP;HERITAGE_INST;Établissement public chargé de la conservation et de la restauration de la cathédrale Notre-Dame de Paris (EPRNDP)
Établissement public chargé de la conservation et de la restauration de la cathédrale Notre-Dame de Paris (EPRNDP);HERITAGE_INST;Établissement public chargé de la conservation et de la restauration de la cathédrale Notre-Dame de Paris (EPRNDP)
Etablissement Public de Notre-Dame;HERITAGE_INST;Établissement public de Notre-Dame
ETIS;HERITAGE_INST;ETIS
foundations;HERITAGE_INST;fondations
Franconville cultural space;HERITAGE_INST;espace culturel de Franconville
French Corpus Committee;HERITAGE_INST;comité du corpus français
French Corpus Vitrearum;HERITAGE_INST;Corpus Vitrearum français
French forest inventory;HERITAGE_INST;inventaire des forêts françaises
French Heritage Code;HERITAGE_INST;Code du patrimoine français
French institutions;HERITAGE_INST;institutions françaises
French Laboratory for Research of Historical Monuments (LRMH);HERITAGE_INST;Laboratoire de Recherche des Monuments Historiques (LRMH)
French Ministry of Culture;HERITAGE_INST;Ministère de la Culture français
French National Agency for Research (ANR);HERITAGE_INST;Agence Nationale de la Recherche (ANR)
French National Archives;HERITAGE_INST;Archives nationales françaises
French National Research Agency (ANR);HERITAGE_INST;French National Research Agency (ANR)
French public health organizations;HERITAGE_INST;organisations de santé publique françaises
Friends of Notre-Dame;HERITAGE_INST;Amis de Notre-Dame
Grand and Petit Palais;HERITAGE_INST;Grand et Petit Palais
Highest French authority;HERITAGE_INST;plus haute autorité française
HisCAnt-MA/UR1132/Université de Lorraine;HERITAGE_INST;HisCAnt-MA/UR1132/Université de Lorraine
HM Government;HERITAGE_INST;Gouvernement britannique
Huma-Num;HERITAGE_INST;Huma-Num
IGN;HERITAGE_INST;Institut géographique national (IGN)
IMPMC;HERITAGE_INST;Institut de minéralogie, de physique des matériaux et de cosmochimie (Sorbonne Université/CNRS/MNHN/IRD)
